gps_code,iata_code,name,type,ident,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,id,iso_region,municipality,scheduled_service,local_code,home_link,wikipedia_link,keywords
NTGA,AAA,Anaa Airport,medium_airport,NTGA,-17.3526,-145.509995,10,OC,PF,4983,PF-U-A,Anaa,yes,,,https://en.wikipedia.org/wiki/Anaa_Airport,
HEAR,AAC,El Arish International Airport,medium_airport,HEAR,31.078565,33.836791,118,AS,EG,3176,EG-SIN,El Arish,yes,,,https://en.wikipedia.org/wiki/El_Arish_International_Airport,
DABB,AAE,Annaba Rabah Bitat Airport,medium_airport,DABB,36.826781,7.81334,16,AF,DZ,2060,DZ-23,Annaba,yes,,,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport,"Les Salines Airport, El Mellah Airport, Annabah"
NGUK,AAK,Aranuka Airport,small_airport,NGUK,0.185278,173.636993,6,OC,KI,30607,KI-G,Buariki,yes,,,https://en.wikipedia.org/wiki/Aranuka_Airport,Tarawa
EKYT,AAL,Aalborg Airport,medium_airport,EKYT,57.094763,9.84993,10,EU,DK,2562,DK-81,Aalborg,yes,,http://www.aal.dk,https://en.wikipedia.org/wiki/Aalborg_Airport,
FAMD,AAM,Malamala Airport,medium_airport,FAMD,-24.816866,31.544085,1124,AF,ZA,2808,ZA-MP,Malamala,yes,,,https://en.wikipedia.org/wiki/Mala_Mala_Airport,
OMAL,AAN,Al Ain International Airport,medium_airport,OMAL,24.2616996765137,55.6091995239258,869,AS,AE,5230,AE-AZ,Al Ain,yes,,,https://en.wikipedia.org/wiki/Al_Ain_International_Airport,
WALS,AAP,Aji Pangeran Tumenggung Pranoto International Airport,medium_airport,WALS,-0.374478,117.250128,82,AS,ID,26763,ID-KI,Samarinda,yes,,,https://en.wikipedia.org/wiki/Aji_Pangeran_Tumenggung_Pranoto_International_Airport,Sungai Siring Airport
URKA,AAQ,Anapa Vityazevo Airport,medium_airport,URKA,45.002102,37.347301,174,EU,RU,6511,RU-KDA,Krasnyi Kurgan,yes,,https://www.aaqaero.ru/en/,https://en.wikipedia.org/wiki/Anapa_Airport,Vityazevo Airport
EKAH,AAR,Aarhus Airport,medium_airport,EKAH,56.303331,10.618286,82,EU,DK,2540,DK-82,Aarhus,yes,,http://www.aar.dk/default.asp?id=87,https://en.wikipedia.org/wiki/Aarhus_Airport,
ZWAT,AAT,Altay Xuedu Airport,medium_airport,CN-0113,47.749886,88.085808,2460,AS,CN,44191,CN-65,Altay,yes,,,https://en.wikipedia.org/wiki/Altay_Xuedu_Airport,Altay Air Base
